id,name,description,weight,quantity,color,brand,price,size,posted_time,author_id,product_category_id,Model,product_img1,product_img2,product_img3,product_img4
57,Oppo,"Li-Po 4015 mAh, non-removable Charging	Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0",164 g,6,Magic Blue,Oppo,25990,6.43 inches,2022-05-17 00:54:37+06,1,1,Oppo F17 Pro,images/products/oppo.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
59,OnePlus,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",197 g,4,Forest Green,OnePlus,53500,6.7 inches,2022-05-17 01:02:29+06,1,1,OnePlus 9 Pro,images/products/oneplus-9-pro-1.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
63,Ferrari,"Displacement (Cc)3,902 cc / 238.1 cu inEngine Power600 bhp / 448 kW @ 7,000 rpmTorque700 Nm / 516 ft lbs @ 6,000 rpmNo. Of Cylinders8","2,045 mm (80.5 in)",1,Red,Ferrari,34400000,"4,633 mm (182.4",2022-05-17 23:03:04+06,1,20,Ferrari 488 GT3 Evo,images/products/Ferrari_488_GT3_Evo.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
64,Samsung,"128GB 8GB RAM , 32-bit/384kHz audio",163 g,6,Cosmic Grey,Samsung,59987,"6.2 inches, 93.",2022-05-17 00:13:47+06,1,1,Samsung Galaxy S20,images/products/download_1.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
65,X corolla,Drive TypeFront Wheel DriveGear BoxAutomaticSteeringSteering TypePower,800kg,13,White Pearl Crystal Shine,X Corolla,1419000,148in,2022-05-17 22:47:00+06,1,20,Toyota Corolla x,images/products/images.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
66,"Mango MGN1 32"" Borderless HD Smart Android LED Television",Smart Android LED TV is one of the largest TVs of the Chinese brand.,2.2kg,5,1920 x 1080 Full HD Resolution,Mango,20000,32 Inch,2022-05-19 23:26:45+06,1,15,"Mango MGN1 32"" Borderless HD Smart Android LED Television",images/products/mgf1-43-inch-500x500.png,images/floric.jpg,images/floric.jpg,images/floric.jpg
67,"LG 32LK510B 32"" HD LED Television",Dynamic Color & Virtual Surround Sound Immersive home entertainment Sophisticated inside and out,1.5kg,3,Resolution 1366 x 768,LG,23000,"32""",2022-05-19 23:34:27+06,1,15,"LG 32LK510B 32"" HD LED Television",images/products/32lk510b-01-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
68,Xiaomi TV,"Processor: MSD6683, CPU: CA53 x 4, up to 1.2GHz RAM: 1.5GB, Storage: 8GB 32"" HD (1,366 x 768) display Supports Dolby Audio and DTS-HD",3.2kg,8,"Resolution 1,366 x 768 @60Hz",Xiaomi Mi,23500,"32""",2022-05-19 23:37:01+06,1,15,Xiaomi Mi P1 L32M6-6ARG/6AEU 32-Inch Smart Android HD TV with Netflix (Global Version),images/products/mi-p1-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
69,Sony Bravia  TV,"WiFi ,HDMI, RF, FM Youtube and more Built-in Wi-Fi WXGA Resolution",2.4kg,6,Resolution 1366x768,Sony Bravia,29000,"32"", 80.0 cm",2022-05-19 23:41:06+06,1,15,"Sony Bravia KDL-32W600D 32"" Smart HD LED TV",images/products/KDL_W600D-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
70,New Mini  Fan,Specifications of New Mini Rechargeable USB Charging Portable Handheld 3 Gear Speed Desktop Fan,50g,50,Pink,Fan,215,10.6*14*4.2cm,2022-05-19 23:44:40+06,1,16,New Mini Rechargeable USB Charging Portable Handheld 3 Gear Speed Desktop Fan,images/products/images_IjPbMeT.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
71,GFC Glamour Ceiling Fan,Superior quality aluminum alloy construction. Energy efficient Electrical Steel Sheet and 99.9% Pure Copper Wire.,8kg,5,white,GFC Glamour,10500,1400 mm,2022-05-19 23:49:47+06,1,16,GFC Glamour Ceiling Fan Full specifications,images/products/gfc-glamour-ceiling-fan.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
72,GFC Monet Ceiling Fan,Energy efficient Electrical Steel Sheet and 99.9% Pure Copper Wire.,1.5kg,3,white,GFC,4800,1400 mm,2022-05-19 23:54:35+06,1,16,GFC Monet Ceiling Fan,images/products/gfc-monet-ceiling-fan.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
73,Asus PC,"Processor Type : Intel Corei5-7400 Processor Speed : Up to 3.50 GHz Main Board : Intel H110 Monitor : 19.5"" HD Monitor RAM : 4 GB DDR4 2400MHz Hard Disk : 1TB 7200RPM Disk Type : HDD",5kg,7,Black,Asus,56000,"19.5"" HD Monito",2022-05-19 23:59:09+06,1,3,Asus A4321UKH Core i5 7th Gen All-In-One PC,images/products/asus-a4321ukh-core-i5-7th-gen-all-in-one-pc.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
74,Dell PC,"Desktop Type : Gaming PC Processor Type : Intel Core i5 7th Generation 7400 Processor Speed : 6 MB Cache, 3.00 GHz Main Board : Intel H110 Chipset",5kg,5,Black,Dell,44000,"18.5"" Screen",2022-05-20 00:02:50+06,1,3,Dell Vostro 3668 Core i5 1TB HDD,images/products/dell-vostro-3668-core-i5-1tb-hdd-18-5-led-mini-tower-pc.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
75,HP PC,Processor Type : Intel Core i3-8100T 8th Generation Processor Speed : 3.1 GHz Main Board : Intel Q370,5kg,5,Black,HP,53500,"20"" Diagonal HD",2022-05-20 00:12:37+06,1,3,HP ProOne 400 G4,images/products/hp-proone-400-g4-core-i3-8th-gen-8gb-ram-all-in-one-pc.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
76,Apple iMac PC,"Processor	Quad Core Intel Core i5 Processor clock speed	3.4-3.8GHz Monitor	21.5 Inch 4K Retina display RAM	8GB RAM type	DDR4 2400MHz Onboard",1.5kg,3,white,Apple,152000,"Monitor	21.5 In",2022-05-20 00:16:11+06,1,3,Apple iMac,images/products/apple-imac-2017-price-in-bangladesh-2019.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
77,walton Desktop PC,"WDPC740010 - Intel B250 Express Chipset - Intel Core™ i5-7400(7th Gen), Clock Speed 3.50GHz (6MB Cache, 2 cores, 4 threads) - Intel HD Graphics 630 - 4 GB 2400MHz DDR4 Memory( Expandable Up to 32GB) - 1 TB 7200 RPM SATA HDD",3.5kg,9,Black,walton,37990,"12""",2022-05-20 00:18:51+06,1,3,walton Desktop PC WDPC740010 Full specifications,images/products/walton-desktop-pc-wdpc740010.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
78,Guitar Stand Wall Mount Hanger Hook,Specifications of Guitar Stand Wall Mount Hanger Hook Guitar Holder for Acoustic Guitar Electric Guitar Ukulele Violin Bass Guitar Ac,210 grams,12,Black,Guitar Stand Wall Mount Hanger Hook,165,NULL,2022-05-20 00:22:34+06,1,18,Guitar Stand Wall Mount Hanger Hook,images/products/3b3892e46aa4dc7d450d6640535f46ac.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
79,Casio keyboard SA 46,32 Mini Keys 8-Note Polyphony 50 Play Along Tracks 5 Drum Pads Headphones Output,1.5kg,3,Black & Green,Casio,3400,"12""",2022-05-20 00:27:01+06,1,18,Casio keyboard SA 46,images/products/1593810065.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
80,Fernedes Atlas 5x-2008 Bass Guitar,Alder Body/Maple Neck Bolt On Neck 21 Fret fingerboard,1.5kg,6,Red,Fernedes Atlas 5x-2008 Bass Guitar,24400,"34"" Scale",2022-05-20 00:28:28+06,1,18,Fernedes Atlas 5x-2008 Bass Guitar,images/products/1593078622.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
81,Sennheiser EW135P-G4 wireless Microphone,"A broadcast quality sound solution. Providing the highest flexibility for your outdoor shoots and field recording applications. A robust wireless microphone system that offers excellent sound quality, simple mounting and ease of use.",200 grams,0,Black,Sennheiser,46000,up to 100 meter,2022-05-20 00:30:44+06,1,18,Sennheiser EW135P-G4 wireless Microphone,images/products/1610340229.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
82,Melody 3.5 Octave Stick Harmoniam,"-3.5 octaves, 42 keys in total   the superb quality of sound",5kg,4,Red,Melody,17000,"12""",2022-05-20 00:33:45+06,1,18,Melody 3.5 Octave Stick Harmoniam,images/products/1593689592.JPG,images/floric.jpg,images/floric.jpg,images/floric.jpg
83,Melody Tablya Baya,original neem wood tabla,2.5 kg baya,4,natural,Melody Tablya Baya,6500,NULL,2022-05-20 00:36:56+06,1,18,Melody Tablya Baya,images/products/1592111661.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
84,Skmei watch,Product Types: Smart Watch Brand : SKMEI Model Number: Skmei 1481 Style: Sport,50g,5,Black,Skmei,1550,NULL,2022-05-20 00:40:14+06,1,13,Skmei 1481 Digital Watch,images/products/7dccb268ea04dd31b9442e5a927189ae.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
85,Haylou Smart Watch,Smart Watch,55 g,3,Black,Haylou Smart Watch,3050,45.7 x 45.7 x 1,2022-05-20 00:47:20+06,1,13,Haylou Smart Watch LS10 RT2,images/products/112ad63724517e25058826dad7a5205a.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
86,Xiaomi Mi Band 6 CN,Smart Band,22g,16,Black,Xiaomi Mi Band,3100,"1.56"" display",2022-05-20 00:50:46+06,1,13,Xiaomi Mi Band 6 CN,images/products/3a20198c6a33dc727a15a8b0d5e3d86c.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
87,CURREN 8356 Watch,Brand: Curren Watch style: Business Watches categories: Men Watch mirror: Sapphire Case material: Alloy,0.1280 kg,5,Black,CURREN 8356,1379,24 x 4.20 cm,2022-05-20 00:52:46+06,1,13,CURREN 8356 Luxury Business Quartz,images/products/620bcf7ee66542f3b7bde77412c4b4a2.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
88,Curren,Style: Luxury Clasp Type: Bracelet Clasp Water Resistance Depth: 3Bar Movement: QUARTZ Case Material: Alloy,0.65kg.,0,Golden,Curren,1889,24cm,2022-05-20 00:56:44+06,1,13,Curren 8348 Luxury Brand Fashion Quartz Watch,images/products/59dd727a06fe041e562ff63aea69a0ab.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
89,Ladies Bracelet Type Watch,"Ladies Bracelet Type Watch Quartz Movement Style: Antique Unique Bracelet Design Leather Strap, Metal Buckle with Battery",200 grams,4,Blue,Ladies Bracelet Type Watch,207,NULL,2022-05-20 01:00:11+06,1,13,Ladies Bracelet Type Watch,images/products/156_cfm0-64.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
90,Electronic Watch,Electronicorigin China model Mi 3 touch white light movement,0.021kg,3,Yellow,Electronic Watch,209,46mm,2022-05-20 01:01:57+06,1,13,Electronic Watch Girls and Boys Trend Touch Bracelet,images/products/5898442510b6fa6bc4efea0f76f88509.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
91,Michael Kors,Product Type: Watch Stainless Steel Mid Sizes Watch Water Resistant,0.65kg.,0,Golden,Michael Kors,2449,NULL,2022-05-20 01:03:51+06,1,13,Michael Kors Womens Watch,images/products/59dd727a06fe041e562ff63aea69a0ab_2IPBq9G.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
92,Magnet Ladies Watch,Magnet Ladies Watch Boxes & Cases Material: Paper,0.65kg.,5,Black,Magnet Ladies Watch,179,18.6cm,2022-05-20 01:05:44+06,1,13,Magnet Ladies Watch,images/products/ah-123.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
93,Walton Light,"WALTON MODULAR FLOOD LIGHT  Model Name	 WLED-MOD-2M100W  Rated Voltage	 220V AC  Rated Power	 100W  Frequency	 50 Hz",20g,0,white,Walton Light,6375,NULL,2022-05-20 01:09:12+06,1,9,WLED-MOD-2M100W,images/products/modular-light-364x364.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
94,WLED-RB3WB22 light,"Energy efficient & energy saves up to 90% in respect of nominal lightings.    - OMNI directional with width beam angle of light.    - High lumen output (Efficacy), high color rendering index (CRI) & CCT.",NULL,0,Purple,Walton,140,NULL,2022-05-20 01:14:31+06,1,9,WLED-RB3WB22,images/products/rainbow-series-215x215.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
95,Spot light,"Energy efficient & energy saves up to 90% in respect of nominal lightings. -High lumen output (Efficacy), high color rendering index (CRI) & CCT.",NULL,8,white,Walton,470,NULL,2022-05-20 01:18:51+06,1,9,WLED-CSLS-5W (5 Watt),images/products/2.Spot-light-700x700-364x364.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
96,Torch light,"Powerful CREE T6 LED chip, all Weather Waterproof Design. & -Long distance coverage. -Torch is made of aircraft grade aluminum alloy.",200 grams,0,Black,Walton,650,NULL,2022-05-20 01:21:22+06,1,9,WLED-T6TORCH-5W,images/products/torch-light-364x364.png,images/floric.jpg,images/floric.jpg,images/floric.jpg
97,LED Light,High Brightness.    - Aluminum Body.    - Applicable for solar Home system (24V).    - Applicable for Automobile (BUS/ Truck) Lighting (24V).    - Applicable for fishing Boat lighting.,NULL,8,white,WLED-DC24V-10W,320,NULL,2022-05-20 01:25:03+06,1,9,WLED-DC24V-10W,images/products/DC-Tube-10Watt-364x364.png,images/floric.jpg,images/floric.jpg,images/floric.jpg
98,Ride On Push Car,3 In 1 Kids Indoor Outdoor Ride On Push Car Stroller And Swing Mercedes Benz GL63 Convertible Baby Car  Product code: push_car_MB_Blue,3.5kg,7,Red,Ride On Push Car,3750,50x50x102,2022-05-20 01:26:40+06,1,8,Ride On Push Car,images/products/baby-car-pink-2-500x500.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
99,kick scooter kids,3 wheels Adjustable Multi-Color Scooter For kids Scooter,210 grams,8,green,kick scooter kids,2099,29cm,2022-05-20 01:30:52+06,1,8,kick scooter kids,images/products/kick-scooter.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
100,Baby gym rack and game pad combo,Baby gym rack and game pad combo baby gym play mat with 30 toy balls,1.5kg,3,green,Baby gym rack and game pad combo,2650,NULL,2022-05-20 01:33:28+06,1,8,Baby gym rack and game pad combo,images/products/baby-gym-rack-and-game.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
101,Baby Kitchen Set,Baby Kitchen Set with music n Light,1.5kg,2,pink,Baby Kitchen Set,3500,NULL,2022-05-20 01:35:32+06,1,8,Baby Kitchen Set,images/products/baby-kitchen-set-toys-500x500.jpg,images/floric.jpg,images/floric.jpg,images/floric.jpg
102,Farlin Baby Magic Ball House,Farlin Baby Magic Ball House (With 100 Balls),200 grams,0,Red,Farlin Baby Magic Ball House,2790,NULL,2022-05-20 01:37:18+06,1,8,Farlin Baby Magic Ball House,images/products/bf-960-500x500.png,images/floric.jpg,images/floric.jpg,images/floric.jpg
103,Playtime King Slider,Safe for children Strong Build quality,5kg,4,Red,Playtime King Slider,6240,7.08 X 1.50 X 3,2022-05-20 14:03:33+06,1,8,Playtime King Slider,images/products/0354369_playtime-king-slider.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
104,Motor Bike Rocker,Process: Blow molding Material: HDPE Toxicity: Non-toxic Grade: Food grade,3.5kg,7,Red,Motor Bike Rocker,1190,89 Lx30 Wx 52 H,2022-05-20 14:07:34+06,1,8,Motor Bike Rocker,images/products/0336830_motor-bike-rocker-red.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
105,Scholar Table With Chair,Type: Educational Process: Blow molding Material: HDPE Toxicity: Non-toxic Grade: Food grade,5kg,6,green,Scholar Table With Chair,1760,29.7x 19.5x 20,2022-05-20 14:10:04+06,1,8,Scholar Table With Chair,images/products/0303228_scholar-table-with-chair-green.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
106,Baby Bouncer For Playing Sleeping & Relxation,"Soft mesh support conforms to a newborns baby Adjusts to three positions: play, rest and sleep Full support to your baby’s back, neck and head Add comfort to baby whilst bathing Compact, lightweight and easy to carry",1.5kg,10,Black,Baby Bouncer For Playing Sleeping & Relxation,2250,87 x 42 x 8 cm,2022-05-20 14:11:54+06,1,8,Baby Bouncer For Playing Sleeping & Relxation,images/products/0250214_baby-bouncer-for-playing-sleeping-relxation-black.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
107,Children's Study Table,"Children's Study Table Baby Snack Table Storage Box, Writing Plastic Table",1.5kg,5,Pastel Sky,Children's Study Table,630,"32""",2022-05-20 14:13:59+06,1,8,Children's Study Table,images/products/0385418_childrens-study-table-baby-snack-table-storage-box-writing-plas_50hGpuk.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
108,বিজ্ঞানবাক্স পঞ্চম শ্রেণি,"এতে রয়েছে সোলার সেল, জেনারেটর, উইন্ডমিল মডিউল, বাযার মডিউল, এলইড মডিউল, কার্বন, চারকোল সহ মোট ৬০+ উপকরণ সব অধ্যায়ের মোট ২৮ এক্সপেরিমেন্ট",210 grams,9,NULL,বিজ্ঞানবাক্স পঞ্চম শ্রেণি,2990,"12""",2022-05-20 14:17:44+06,1,4,বিজ্ঞানবাক্স পঞ্চম শ্রেণি,images/products/0377466_-.jpeg,images/floric.jpg,images/floric.jpg,images/floric.jpg
